,clusters-labels,full-names,gender,global-frequency,distribution_rank,concentration_rank
Tremont ,"[3, 4, 1, 4, 3, 3, 1, 3, 3]","['Tremont Place,', 'Tremont Place,', 'Tremont Street,', 'Tremont Street,', 'Tremont Street,', 'Tremont Street,', 'Tremont Street,', 'Tremont Street,', 'Tremont Street,']",male,5,3,5
Washington ,"[3, 4, 0, 3, 0, 3, 1, 0, 1, 1, 2, 3, 1, 3]","['Washington Place,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,', 'Washington Street,']",male,6,5,5
Harvard ,"[1, 4, 0, 3, 0, 3, 3, 0, 3, 3, 2]","['Harvard Avenue,', 'Harvard Avenue,', 'Harvard Avenue,', 'Harvard Place,', 'Harvard Place,', 'Harvard Place,', 'Harvard Square,', 'Harvard Street,', 'Harvard Street,', 'Harvard Street,', 'Harvard Street,']",male,10,5,5
Congress ,"[3, 3, 3, 3]","['Congress Street,', 'Congress Street,', 'Congress Street,', 'Congress Street,']",male,1,1,4
Columbus ,"[1, 3, 1, 1, 1]","['Columbus Avenue,', 'Columbus Avenue,', 'Columbus Avenue,', 'Columbus Avenue,', 'Columbus Square,']",male,2,2,4
Dorchester ,"[2, 2, 2, 3, 2, 3]","['Dorchester Avenue,', 'Dorchester Avenue,', 'Dorchester Avenue,', 'Dorchester Avenue,', 'Dorchester Square,', 'Dorchester Street,']",male,3,2,4
Hanover ,"[3, 3, 3, 3]","['Hanover Avenue,', 'Hanover Place,', 'Hanover Street,', 'Hanover Street,']",male,3,1,4
Webster ,"[3, 3, 3, 0, 0, 0, 3]","['Webster Avenue,', 'Webster Place,', 'Webster Place,', 'Webster Square,', 'Webster Street,', 'Webster Street,', 'Webster Street,']",male,8,2,4
Chestnut ,"[1, 1, 4, 0, 1, 0, 1, 3, 3]","['Chestnut Avenue,', 'Chestnut Place,', 'Chestnut Place,', 'Chestnut Road,', 'Chestnut Square,', 'Chestnut Street,', 'Chestnut Street,', 'Chestnut Street,', 'Chestnut Street,']",male,9,4,4
Warren ,"[0, 3, 3, 1, 1, 3, 1, 1, 4, 3]","['Warren Avenue,', 'Warren Avenue,', 'Warren Avenue,', 'Warren Place,', 'Warren Square,', 'Warren Square,', 'Warren Street,', 'Warren Street,', 'Warren Street,', 'Warren Street,']",male,10,4,4
Ruggles ,"[1, 1, 1]","['Ruggles Street,', 'Ruggles Street,', 'Ruggles Street,']",male,1,1,3
Amory ,"[1, 1, 1]","['Amory Avenue,', 'Amory Street,', 'Amory Street,']",male,2,1,3
Navarre ,"[0, 0, 0]","['Navarre Place,', 'Navarre Street,', 'Navarre Street,']",male,2,1,3
Forest Hills ,"[1, 1, 1]","['Forest Hills Avenue,', 'Forest Hills Square,', 'Forest Hills Street,']",male,3,1,3
North ,"[1, 3, 3, 3]","['North Avenue,', 'North Square,', 'North Street,', 'North Street,']",male,3,2,3
Parker ,"[0, 1, 3, 1, 1]","['Parker Street,', 'Parker Street,', 'Parker Street,', 'Parker Street,', 'Parker Street,']",male,3,3,3
Regent ,"[1, 1, 1]","['Regent Place,', 'Regent Square,', 'Regent Street,']",male,3,1,3
Baker ,"[2, 0, 0, 0]","['Baker Avenue,', 'Baker Place,', 'Baker Street,', 'Baker Street,']",male,4,2,3
Hancock ,"[3, 3, 3, 2]","['Hancock Square,', 'Hancock Street,', 'Hancock Street,', 'Hancock Street,']",male,4,2,3
Monument ,"[3, 1, 3, 3]","['Monument Avenue,', 'Monument Square,', 'Monument Square,', 'Monument Street,']",male,4,2,3
Arlington ,"[3, 3, 3, 0, 4]","['Arlington Avenue,', 'Arlington Square,', 'Arlington Street,', 'Arlington Street,', 'Arlington Street,']",male,5,3,3
Grove ,"[3, 0, 3, 3, 0]","['Grove Place,', 'Grove Road,', 'Grove Square,', 'Grove Street,', 'Grove Street,']",male,5,2,3
Winthrop ,"[3, 3, 0, 3, 1]","['Winthrop Square,', 'Winthrop Street,', 'Winthrop Street,', 'Winthrop Street,', 'Winthrop Street,']",male,5,3,3
Lincoln ,"[4, 3, 2, 4, 0, 4, 3]","['Lincoln Place,', 'Lincoln Place,', 'Lincoln Street,', 'Lincoln Street,', 'Lincoln Street,', 'Lincoln Street,', 'Lincoln Street,']",male,6,4,3
Oak ,"[0, 0, 4, 3, 0, 3]","['Oak Place,', 'Oak Road,', 'Oak Square,', 'Oak Street,', 'Oak Street,', 'Oak Street,']",male,6,3,3
Park ,"[1, 2, 3, 0, 0, 3, 3, 2]","['Park Place,', 'Park Street,', 'Park Street,', 'Park Street,', 'Park Street,', 'Park Street,', 'Park Street,', 'Park Street,']",male,6,4,3
Putnam ,"[1, 1, 3, 1, 3]","['Putnam Avenue,', 'Putnam Place,', 'Putnam Square,', 'Putnam Street,', 'Putnam Street,']",male,6,2,3
Franklin ,"[3, 0, 4, 3, 2, 3, 4, 0]","['Franklin Avenue,', 'Franklin Place,', 'Franklin Square,', 'Franklin Street,', 'Franklin Street,', 'Franklin Street,', 'Franklin Street,', 'Franklin Street,']",male,8,4,3
Everett ,"[2, 3, 0, 4, 4, 4, 2, 3, 0, 1]","['Everett Avenue,', 'Everett Place,', 'Everett Square,', 'Everett Square,', 'Everett Street,', 'Everett Street,', 'Everett Street,', 'Everett Street,', 'Everett Street,', 'Everett Street,']",male,10,5,3
Ashmont ,"[2, 2]","['Ashmont Street,', 'Ashmont Street,']",male,1,1,2
Bateman ,"[0, 0]","['Bateman Street,', 'Bateman Street,']",male,1,1,2
Blue Hill ,"[2, 1, 1, 0]","['Blue Hill Avenue,', 'Blue Hill Avenue,', 'Blue Hill Avenue,', 'Blue Hill Avenue,']",male,1,3,2
Broad ,"[3, 3]","['Broad Street,', 'Broad Street,']",male,1,1,2
Broadway,"[3, 3]","['Broadway', 'Broadway']",male,1,1,2
Crawford ,"[1, 1]","['Crawford Street,', 'Crawford Street,']",male,1,1,2
Dalton ,"[1, 1]","['Dalton Street,', 'Dalton Street,']",male,1,1,2
Hallet ,"[2, 2]","['Hallet Street,', 'Hallet Street,']",male,1,1,2
Harold ,"[1, 1]","['Harold Street,', 'Harold Street,']",male,1,1,2
Harrishof ,"[1, 1]","['Harrishof Street,', 'Harrishof Street,']",male,1,1,2
Holton ,"[4, 4]","['Holton Street,', 'Holton Street,']",male,1,1,2
Metropolitan ,"[0, 0]","['Metropolitan Avenue,', 'Metropolitan Avenue,']",male,1,1,2
Milk ,"[3, 3]","['Milk Street,', 'Milk Street,']",male,1,1,2
Minot ,"[2, 2]","['Minot Street,', 'Minot Street,']",male,1,1,2
North Beacon ,"[4, 4]","['North Beacon Street,', 'North Beacon Street,']",male,1,1,2
Northampton ,"[1, 1]","['Northampton Street,', 'Northampton Street,']",male,1,1,2
