,full_name,street-name,name-length,gender,zipcodes,rank
1,"A Street,",A ,2,unknown,02136,1
2,"A Street,",A ,2,unknown,02210-02127,2
3,"Abbot Street,",Abbot ,6,male,02124,2
4,"Abbotsford Street,",Abbotsford ,11,unknown,02121,1
5,"Abby Road,",Abby ,5,female,02135,1
6,"Aberdeen Street,",Aberdeen ,9,female,02215,1
7,"Acacia Road,",Acacia ,7,female,02132,1
8,"Academic Way,",Academic Way,12,female,02134,1
9,"Academy Court,",Academy Court,13,unknown,02119,1
10,"Academy Road,",Academy ,8,male,02119,1
11,"Academy Terrace,",Academy Terrace,15,unknown,02119,1
12,"Academy Hill Road,",Academy Hill ,13,unknown,02135,3
13,"Acadia Street,",Acadia ,7,female,02127,1
14,"Achorn Circle,",Achorn Circle,13,unknown,02130,1
15,"Ackley Place,",Ackley ,7,male,02130,1
16,"Acorn Street,",Acorn ,6,unknown,02108,1
17,"Acton Street,",Acton ,6,male,02136,1
18,"Ada Street,",Ada ,4,female,02131,1
19,"Adair Road,",Adair ,6,unknown,02135,1
20,"Adams Park,",Adams Park,10,male,,1
21,"Adams Place,",Adams ,6,male,02127,1
22,"Adams Street,",Adams ,6,male,02129,2
23,"Adams Street,",Adams ,6,male,02122-02124,15
24,"Adams Street,",Adams ,6,male,02136,1
25,"Adams Street,",Adams ,6,male,02119,2
26,"Adams Terrace,",Adams Terrace,13,male,02122,1
27,"Adamson Street,",Adamson ,8,male,02134,1
28,"Adanac Terrace,",Adanac Terrace,14,male,02124,1
29,"Addington Road,",Addington ,10,female,02132,1
30,"Addison Street,",Addison ,8,female,02128,1
31,"Adelaide Street,",Adelaide ,9,female,02130,2
32,"Adelaide Terrace,",Adelaide Terrace,16,female,02130,1
33,"Adella Place,",Adella ,7,female,02134,1
34,"Adirondack Place,",Adirondack ,11,female,02124,1
35,"Admiral George Dewey Square,",Admiral George Dewey ,21,male,02210,1
36,"Adrian Street,",Adrian ,7,male,02125,1
37,Agassiz Park,Agassiz Park,12,unknown,02130,1
38,"Agassiz Road,",Agassiz ,8,male,02215,1
39,"Agawam Street,",Agawam ,7,male,02122,1
40,"Agganis Way,",Agganis Way,11,male,,1
41,"Agnes Avenue,",Agnes ,6,female,02126,1
42,"Agri Street,",Agri ,5,male,,1
43,"Aguadilla Street,",Aguadilla ,10,unknown,02118,1
44,"Ainsley Street,",Ainsley ,8,female,02122,1
45,"Ainsworth Street,",Ainsworth ,10,male,02131,2
46,"Ainsworth Street Footway,",Ainsworth  Footway,18,male,02131,1
47,"Akron Place,",Akron ,6,male,02119,1
48,"Akron Street,",Akron ,6,male,02119,1
49,"Alabama Street,",Alabama ,8,female,02126,2
50,"Alameda Road,",Alameda ,8,female,02132,1
51,"Alaric Street,",Alaric ,7,male,02132,1
52,"Alaric Terrace,",Alaric Terrace,14,male,02132,1
53,"Alaska Street,",Alaska ,7,female,02119,1
54,"Alban Street,",Alban ,6,male,02124,1
55,"Albano Street,",Albano ,7,male,02131,2
56,"Albany Street,",Albany ,7,female,02119-02111-02118,7
57,"Albany Street Connector,",Albany  Connector,17,female,02118,1
58,"Albemarle Court,",Albemarle Court,15,male,02136,1
59,"Albemarle Street,",Albemarle ,10,male,02136,1
60,"Albemarle Street,",Albemarle ,10,male,02115,1
61,"Albemarle Terrace,",Albemarle Terrace,17,unknown,02115,1
62,"Albert Place,",Albert ,7,male,02122,1
63,"Albert Street, Rox.,",Albert  Rox.,12,male,02120,1
64,"Alberta Street,",Alberta ,8,female,02132,1
65,"Albion Place,",Albion ,7,male,02129,1
66,"Albion Street,",Albion ,7,male,02119,1
67,"Albion Street,",Albion ,7,male,02136,1
68,"Albright Street,",Albright ,9,unknown,02132,1
69,"Alcorn Street,",Alcorn ,7,male,02134,1
70,"Alcott Street,",Alcott ,7,male,02134,1
71,"Alden Road,",Alden ,6,male,,1
72,"Alder Street,",Alder ,6,male,02131,2
73,"Aldie Street,",Aldie ,6,male,02134,1
74,"Aldo Terrace,",Aldo Terrace,12,male,02136,1
75,"Aldrich Street,",Aldrich ,8,male,02131,2
76,"Aldwin Road,",Aldwin ,7,male,02131,1
77,"Aldworth Street,",Aldworth ,9,male,02130,1
78,"Alexander Street,",Alexander ,10,male,02125,2
79,"Alford Street,",Alford ,7,male,02129,1
80,"Alfred Street,",Alfred ,7,male,02130,1
81,"Alger Street,",Alger ,6,male,02127,1
82,"Algonquin Square,",Algonquin ,10,male,02124,1
83,"Algonquin Street,",Algonquin ,10,male,02124,1
84,"Alhambra Road,",Alhambra ,9,unknown,02132,1
85,"Alicia Road,",Alicia ,7,female,02124,1
86,"Alkyris Road,",Alkyris ,8,female,02132,1
87,"Allandale Street,",Allandale ,10,male,02130,2
88,"Alleghany Street,",Alleghany ,10,male,02120,3
89,"Allen Road,",Allen ,6,male,02135,1
90,"Allen Street,",Allen ,6,male,02136,1
91,"Allen Street,",Allen ,6,male,02131,1
92,"Allen's Alley,",Allen's ,8,male,02116,1
93,"Allenwood Street,",Allenwood ,10,male,02132,1
94,"Allerton Street,",Allerton ,9,unknown,02119,1
95,"Alleyne Street,",ne ,3,female,02132,1
96,"Allstate Road,",Allstate ,9,male,02125,1
97,"Allston Square,",Allston ,8,male,02134,1
98,"Allston Street,",Allston ,8,male,02146-02134,7
99,"Allston Street,",Allston ,8,male,02129,1
100,"Allston Street,",Allston ,8,male,02124,1
101,"Almont Street,",Almont ,7,male,02126,1
102,"Almy Street,",Almy ,5,male,02134,1
103,"Alna Place,",Alna ,5,female,02128,1
104,"Alpha Road,",Alpha ,6,female,02124,1
105,"Alpheus Road,",Alpheus ,8,male,02131,1
106,"Alpine Place,",Alpine ,7,female,02119,1
107,"Alpine Street,",Alpine ,7,female,02126,1
108,"Alpine Street,",Alpine ,7,female,02119,1
